id,short_name,name,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
2,GLWD00000002,Superior,47.9625,-87.0431,True,False,True,True,True
3,GLWD00000003,Victoria,-0.8764,33.1431,True,False,True,True,True
4,GLWD00000004,Large Aral Sea,44.6486,59.8347,True,False,True,True,True
5,GLWD00000005,Huron,44.7208,-82.3458,True,False,True,True,True
6,GLWD00000006,Michigan,42.6042,-87.0153,True,False,True,True,True
7,GLWD00000007,Tanganyika,-6.8014,30.0375,True,False,True,True,True
8,GLWD00000008,Baikal,54.1736,108.9736,True,False,True,True,True
9,GLWD00000009,Great Bear,66.0125,-120.3764,True,False,True,True,True
10,GLWD00000010,Malawi,-11.6042,34.6375,True,False,True,True,True
11,GLWD00000011,Great Slave,61.3347,-114.7958,True,False,True,True,True
12,GLWD00000012,Erie,42.2514,-81.1292,True,False,True,True,True
13,GLWD00000013,Winnipeg,53.4153,-98.4236,True,False,True,True,True
14,GLWD00000014,Chad,13.1319,14.4653,True,True,True,True,True
15,GLWD00000015,Ontario,43.6653,-77.7625,True,True,True,True,True
16,GLWD00000016,Ladoga,60.7653,31.6486,True,False,True,True,True
17,GLWD00000017,Balkhash,46.2903,74.4764,True,False,True,True,True
18,GLWD00000018,Onegh,61.6625,35.5319,True,False,True,True,True
19,GLWD00000019,Itaparica,-9.9042,-42.1986,True,True,True,True,True
20,GLWD00000020,Titicaca,-15.7681,-69.4569,True,True,True,True,True
21,GLWD00000021,Nicaragua,11.3569,-85.2431,True,False,True,True,True
22,GLWD00000022,Turkana,3.7764,36.0486,True,True,True,True,True
23,GLWD00000023,Athabasca,59.3319,-109.4181,True,False,True,True,True
24,GLWD00000024,Volta,6.5597,0.0292,True,False,True,True,True
25,GLWD00000025,Issyk-kul,42.4236,77.3653,True,False,True,True,True
26,GLWD00000026,Great Salt,41.2847,-112.6875,True,False,True,True,True
27,GLWD00000027,Michikamau-Lobstick,54.0153,-63.9986,False,False,True,True,True
28,GLWD00000028,Reindeer,57.5542,-102.2014,True,False,True,True,True
29,GLWD00000029,Vanern,59.0514,13.5931,True,True,True,True,True
30,GLWD00000030,Albert,1.7764,31.0819,True,True,True,True,True
31,GLWD00000031,Winnipegosis,52.6986,-99.9014,True,False,True,True,True
32,GLWD00000032,Nettiling,66.6181,-70.9931,True,False,True,True,True
33,GLWD00000033,Kuybyshevskoye,54.5514,48.5931,True,False,True,True,True
34,GLWD00000034,Urmia,37.9181,45.2542,True,True,True,True,True
35,GLWD00000035,Kariba,-17.0153,27.8347,True,True,True,True,True
36,GLWD00000036,Mweru,-8.9931,28.7319,True,False,True,True,True
