name;latitude;longitude;cci_lakeid
Aksai Chin;35.2;79.85;1096
Alakol;45.11;81.73;58
Albert;1.66;30.92;30
Albufera;39.34;-0.36;10679
Almendra;41.26;-6.28;1562
Altevatnet;68.59;19.39;1038
Amadjuak;64.93;-71.15;56
Angostura;16.08;-92.5;234
Aral Est;45.13;60.8;4
Aral Nord;45.13;60.8;4
Aral Ouest;45.13;60.8;4
Aral South;45.13;60.8;4
Argentino;-50.25;-72.49;117
Assad;36;38.17;279
Athabasca;59.32;-109.38;23
Ayakum;37.55;89.35;312
Aydar;40.86;67.08;138
Aylmer;64.15;-108.46;226
Baikal;53.53;108.21;8
Baker;64.13;-95.28;97
Balaton;46.88;17.83;310
Balbina;-2.44;-58.25;359
Balkhash;46.32;74.47;17
Bangweulu;-11.19;29.76;81
Beysehir;37.77;31.52;267
Bogoria;0.27;36.1;4953
Bolmen;56.93;13.7;1028
Bosten;41.99;87.02;181
Boye So;70.11;-50.63;3211
Branched-Oak;40.98;-96.86;214687
Bratsk;56.24;101.75;39
Buyo;6.33;-7.07;182
Cabora Bassa;-15.73;31.63;42
Caniapscau;54.29;69.84;168
Caspian;42.08;50.55;1
Cedar;53.33;-100.14;57
Chad;13.15;14.32;14
Champian;44.5;-73.31;165
Chany;54.87;77.56;92
Chapala;20.21;-103.05;153
Chardarinskoye;41.15;68.17;296
Chenghai;26.55;100.67;15455
Chilwa;-15.3;35.72;256
Colhue Huapi;-45.54;-68.75;219
Constance;47.59;9.45;352
Cuerda del pozo;41.9;-2.75;8527
Dagze;31.7;88;744
Dead Sea;31.53;35.48;244
Dogai Coring;34.57;89.02;725
Dogaicoring Quang;35.27;89.25;1891
Dongting;28.83;112.66;620
Douglas;45.58;-84.71;13377
Dubawnt;63.1;-101.5;49
Eagle-Creek;39.85;-86.3;215339
Ebi/Ebinur;44.89;82.97;297
Edward;-0.39;29.61;69
Egirdir;38.01;30.89;390
Ennadai;60;-100.5;254
Erie;42.21;-81.25;12
Erken;59.84;18.57;6785
Erne;54.45;-7.76;1526
Erne-Lough;54.21;-7.51;4947
Eyre;-28.45;137.36;2
Fort Peck;47.68;-107.29;201
Fureso;72.03;-26.29;185
Garda;45.61;10.63;505
Geist;39.94;-85.94;215311
General Carrera/Buenos Aires;-46.66;-72.5;94
George;0.01;30.22;687
Glan;58.62;15.96;2358
Grande-3;53.83;-75.38;63
Great Bear;66.02;-120.61;9
Great Salt Lake;41.14;-112.5;26
Great Slave Lake;61.58;-114.2;11
Guri;7.74;-63;154
Hartbeespoort;-25.75;27.86;10694
Hongze;33.34;118.53;109
Hubsugul;51.07;100.48;59
Hulun;48.97;117.43;75
Huron;44.92;-82.46;5
Idro;45.78;10.51;15600
Ijsselmeer;52.82;5.38;12
Ilha Solteira;-19.83;-50.58;129
Ilment;58.28;31.3;192
Imja;27.9;86.92;1382089
Iseo;45.74;10.07;14185
Issyk-Kul;42.41;77.28;25
Itaipu;-25.31;-55.16;65
Itaparica;-8.87;-38.61;216
Ivoesjoen;56.11;14.44;13156
Izabal;15.51;-89.17;245
Jingyu;36.32;89.45;1044
Kainji;10.43;4.56;116
Kamilukuak;61.4;-102.2;264
Kaminak;62.1;-95.6;246
Kangaarsuup Tasersua;62.52;-49.61;3969
Kaptchagayskoye;43.82;77.73;131
Kara-Bogaz-Gol;41.23;53.54;197
Karakaya;38.52;38.41;542
Kariba;-17.23;27.6;35
Kasba;60.34;-102.27;124
Kasumigaura;36.05;140.37;1204
Khanka;45;132.39;45
Khar-Us;48.1;93.21;142
Khyargas;49.16;93.38;121
Kinneret;32.81;35.59;1196
Kivu;-2.04;29.93;67
Kokonor/Qinghai;36.92;100.17;41
Krasnoyarskoye;54.84;90.94;93
Kremenshugskoye;49.28;32.62;87
Kuybyshevskoye;54.54;48.65;33
Kyoga;1.48;32.96;13
Ladoga;60.83;31.58;16
Leman;46.46;6.53;327
Lixi'Oidain;35.75;90.18;812
Llanquihue;-41.14;-72.81;209
Loskop;-25.45;29.29;7840
Lough-Mourve;54.76;-5.81;4
Lumajangdong;34.01;81.64;592
Macnean-Lough;54.29;-7.83;18089
Maelaren;59.42;17.24;163
Maggiore;46;8.68;948
Malawi;-12;34.48;10
Managua;12.37;-86.33;176
Manasarovar;30.7;81.5;439
Manitoba;50.54;-98.33;37
Mantua;45.15;10.81;208840
Mar Chiquita;-30.52;-62.57;84
Maracaibo;9.72;-71.53;200000072
Mead;36.33;-114.39;278
Melvin;54.43;-8.15;7889
Mendota;43.11;-89.41;4503
Michigan;43.86;-87.09;6
Migriggyangzham;33.48;90.32;520
Milh;32.78;43.66;173
Mingechaurskoye;40.93;46.79;328
Moeckeln;56.68;14.2;13104
Mohave;35.44;-114.65;9360
Mono;38;-119;883
MORSE-Reservoir;40.12;-86.03;215215
Mossoul;36.67;42.86;576
Muggelsee;52.44;13.65;165102
Mweru;-9.01;28.74;36
Naivasha;-0.76;36.35;1659
Nam Co;30.72;90.61;91
Nasser;22.86;32.58;48
Nassuttuutaata tasia;67.61;-52.43;2545
Neagh;54.62;-6.41;481
Nettiling;66.42;-70.28;32
Nezahualcoyoti;17.16;-93.65;477
Ngangla-Ringco;31.56;83.05;354
Ngangze;31;87.1;444
Ngoring;34.93;97.71;300
Nicaragua;11.53;-85.37;21
Nipissing;46.26;-79.6;198
NN-Glacial-lake;65.09;-50.04;1099
NN-Glacial-lake;77.03;-20.34;182
NN-Glacial-lake;79.59;-22.54;1744
NN-Glacial-lake;80.16;-22.1;2540
NN-Glacial-lake;67;-51.89;2685
NN-Glacial-lake;65.62;-50.32;3219
NN-Glacial-lake;66.28;-49.86;2892
North Caribou;52.79;-90.74;516
Novosibirskoye;54.37;82.03;190
Nueltin;60.25;-99.4;83
Oahe;45.49;-100.38;122
Oestra Ringsjoen;55.87;13.55;13182
Ohrid;41.03;20.72;526
Okanagan;49.83;-119.54;565
Onega;61.75;35.41;18
Ontario;43.64;-77.73;15
Opinaca;52.5;-76.3;159
Oulu;64.45;26.97;202
PŽIJŽNNE;61.6;25.48;157
Patos Lagoon;-31.18;-51.36;200000071
Patzcuaro;19.62;-101.64;9739
Peipus;58.65;27.49;50
Poopo;-18.81;-67.06;133
Portmore-Lough;54.56;-6.28;164651
Poyang;29.04;116.35;78
Pung-co;31.52;90.97;1432
PYHŽJŽRVI;63.58;25.9;1240
Pyramid;40.03;-119.57;411
Qadisiyah;34.31;42.3;484
Rakshastal;30.65;81.24;676
Razlem Sinoe system;44.79;29;358
Rihpojavri;69.21;20.61;134644
Rosarito;40.1;-5.31;18140
Roseires;11.79;34.41;274
Rukwa;-7.84;32.16;11
Rusken;57.24;14.38;13043
Rybinskoye;58.49;38.13;47
Saint Clair;42.41;-82.72;146
Sakakawea;47.81;-102.32;110
Salton Sea;33.32;-115.81;194
Sandy;53;-93.4;356
Saratovskoye;52.74;48.36;113
Sarykamyshskoye;41.88;57.61;241
Sasykkol;46.57;81.05;247
Saysan;48;83.93;2637
Sebago;43.85;-70.54;1498
Seneca;42.66;-76.9;773
Sevan;40.39;45.29;135
Simcoe;44.46;-79.36;236
Skadar;42.19;19.3;488
Sobradino;-9.73;-41.67;19
Soungari;43.6;126.93;1297
Squam;43.75;-71.53;6561
